Age,Attrition,Department,EducationField,Gender,JobRole,,NumCompaniesWorked,TotalWorkingYears
41,Yes,Sales,Life Sciences,Female,Sales Executive,,8,8
49,No,Research & Development,Life Sciences,Male,Research Scientist,,1,10
37,Yes,Research & Development,Other,Male,Laboratory Technician,,6,7
33,No,Research & Development,Life Sciences,Female,Research Scientist,,1,8
27,No,Research & Development,Medical,Male,Laboratory Technician,,9,6
32,No,Research & Development,Life Sciences,Male,Laboratory Technician,,0,8
59,No,Research & Development,Medical,Female,Laboratory Technician,,4,12
30,No,Research & Development,Life Sciences,Male,Laboratory Technician,,1,1
38,No,Research & Development,Life Sciences,Male,Manufacturing Director,,0,10
36,No,Research & Development,Medical,Male,Healthcare Representative,,6,17
35,No,Research & Development,Medical,Male,Laboratory Technician,,0,6
29,No,Research & Development,Life Sciences,Female,Laboratory Technician,,0,10
31,No,Research & Development,Life Sciences,Male,Research Scientist,,1,5
34,No,Research & Development,Medical,Male,Laboratory Technician,,0,3
28,Yes,Research & Development,Life Sciences,Male,Laboratory Technician,,5,6
29,No,Research & Development,Life Sciences,Female,Manufacturing Director,,1,10
32,No,Research & Development,Life Sciences,Male,Research Scientist,,0,7
22,No,Research & Development,Medical,Male,Laboratory Technician,,1,1
53,No,Sales,Life Sciences,Female,Manager,,2,31
38,No,Research & Development,Life Sciences,Male,Research Scientist,,5,6
24,No,Research & Development,Other,Female,Manufacturing Director,,0,5
36,Yes,Sales,Life Sciences,Male,Sales Representative,,7,10
34,No,Research & Development,Life Sciences,Female,Research Director,,0,13
21,No,Research & Development,Life Sciences,Male,Research Scientist,,1,0
34,Yes,Research & Development,Medical,Male,Research Scientist,,2,8
53,No,Research & Development,Other,Female,Manager,,4,26
32,Yes,Research & Development,Life Sciences,Female,Research Scientist,,1,10
42,No,Sales,Marketing,Male,Sales Executive,,0,10
44,No,Research & Development,Medical,Female,Healthcare Representative,,3,24
46,No,Sales,Marketing,Female,Manager,,3,22
33,No,Research & Development,Medical,Male,Laboratory Technician,,4,7
44,No,Research & Development,Other,Male,Healthcare Representative,,2,9
30,No,Research & Development,Medical,Male,Laboratory Technician,,1,10
39,Yes,Sales,Technical Degree,Male,Sales Representative,,3,19
24,Yes,Research & Development,Medical,Male,Research Scientist,,2,6
43,No,Research & Development,Medical,Female,Research Scientist,,1,6
50,Yes,Sales,Marketing,Male,Sales Representative,,1,3
35,No,Sales,Marketing,Female,Sales Representative,,1,2
36,No,Research & Development,Life Sciences,Female,Research Scientist,,9,6
33,No,Sales,Life Sciences,Female,Sales Executive,,2,10
35,No,Research & Development,Other,Male,Laboratory Technician,,1,1
27,No,Research & Development,Life Sciences,Female,Laboratory Technician,,1,1
26,Yes,Research & Development,Life Sciences,Male,Laboratory Technician,,1,1
27,No,Sales,Life Sciences,Male,Sales Executive,,1,9
30,No,Research & Development,Medical,Female,Laboratory Technician,,1,12
41,Yes,Research & Development,Technical Degree,Female,Research Director,,1,23
34,No,Sales,Marketing,Male,Sales Executive,,0,10
37,No,Research & Development,Life Sciences,Male,Research Scientist,,4,8
46,No,Sales,Marketing,Male,Sales Executive,,4,14
35,No,Research & Development,Life Sciences,Male,Laboratory Technician,,1,1
48,Yes,Research & Development,Life Sciences,Male,Laboratory Technician,,9,23
28,Yes,Research & Development,Technical Degree,Male,Laboratory Technician,,1,2
44,No,Sales,Marketing,Female,Sales Executive,,5,9
35,No,Research & Development,Medical,Male,Healthcare Representative,,2,10
26,No,Sales,Marketing,Female,Sales Executive,,7,5
33,No,Research & Development,Life Sciences,Female,Research Director,,1,15
35,No,Sales,Life Sciences,Male,Sales Executive,,1,9
35,No,Research & Development,Medical,Female,Laboratory Technician,,3,4
31,No,Research & Development,Life Sciences,Male,Laboratory Technician,,3,10
37,No,Research & Development,Life Sciences,Male,Manufacturing Director,,1,7
32,No,Research & Development,Medical,Male,Manufacturing Director,,1,9
38,No,Research & Development,Life Sciences,Female,Laboratory Technician,,1,10
50,No,Research & Development,Medical,Female,Research Director,,5,29
59,No,Sales,Life Sciences,Female,Sales Executive,,7,28
36,No,Research & Development,Technical Degree,Female,Healthcare Representative,,1,17
55,No,Research & Development,Medical,Female,Manager,,2,21
36,No,Research & Development,Life Sciences,Male,Manufacturing Director,,1,6
45,No,Research & Development,Life Sciences,Male,Research Scientist,,2,25
35,No,Research & Development,Medical,Male,Research Scientist,,4,5
36,Yes,Research & Development,Medical,Male,Research Scientist,,0,2
59,No,Sales,Life Sciences,Female,Sales Executive,,7,20
29,No,Research & Development,Life Sciences,Male,Research Scientist,,0,6
31,No,Research & Development,Medical,Male,Research Scientist,,1,1
32,No,Research & Development,Life Sciences,Male,Research Scientist,,1,10
36,No,Research & Development,Life Sciences,Female,Laboratory Technician,,3,5
31,No,Research & Development,Life Sciences,Female,Manufacturing Director,,1,11
35,No,Sales,Marketing,Male,Sales Executive,,0,16
45,No,Research & Development,Other,Male,Research Director,,4,17
37,No,Research & Development,Medical,Male,Research Director,,4,16
46,No,Human Resources,Medical,Male,Human Resources,,8,16
30,No,Research & Development,Life Sciences,Male,Laboratory Technician,,1,10
35,No,Research & Development,Medical,Male,Research Scientist,,1,6
55,No,Sales,Life Sciences,Male,Sales Executive,,3,24
38,No,Research & Development,Medical,Female,Research Scientist,,7,17
34,No,Research & Development,Medical,Male,Manufacturing Director,,1,5
56,No,Research & Development,Life Sciences,Male,Manufacturing Director,,4,37
23,No,Sales,Technical Degree,Male,Sales Representative,,3,3
51,No,Research & Development,Life Sciences,Male,Laboratory Technician,,3,10
30,No,Research & Development,Life Sciences,Male,Healthcare Representative,,1,11
46,Yes,Sales,Medical,Male,Sales Executive,,1,9
40,No,Research & Development,Life Sciences,Male,Healthcare Representative,,1,22
51,No,Sales,Marketing,Male,Sales Executive,,0,11
30,No,Sales,Medical,Female,Sales Executive,,1,11
46,No,Research & Development,Medical,Male,Healthcare Representative,,2,21
32,No,Sales,Medical,Male,Sales Executive,,1,12
54,No,Research & Development,Technical Degree,Female,Research Director,,9,16
24,No,Sales,Other,Female,Sales Executive,,0,4
28,No,Sales,Medical,Male,Sales Executive,,1,5
58,No,Sales,Medical,Male,Sales Executive,,0,38
44,No,Research & Development,Medical,Male,Laboratory Technician,,4,17
37,Yes,Human Resources,Human Resources,Male,Human Resources,,4,7
32,No,Research & Development,Life Sciences,Male,Research Scientist,,1,1
20,Yes,Research & Development,Life Sciences,Female,Laboratory Technician,,1,1
34,No,Research & Development,Other,Female,Research Scientist,,1,16
37,No,Research & Development,Life Sciences,Male,Healthcare Representative,,5,17
59,No,Human Resources,Human Resources,Female,Manager,,9,30
50,No,Research & Development,Life Sciences,Female,Research Director,,3,28
25,Yes,Sales,Marketing,Male,Sales Executive,,1,6
25,No,Research & Development,Medical,Male,Research Scientist,,1,2
22,No,Research & Development,Medical,Female,Laboratory Technician,,1,1
51,No,Research & Development,Medical,Female,Healthcare Representative,,3,23
34,Yes,Research & Development,Life Sciences,Male,Laboratory Technician,,1,9
54,No,Human Resources,Human Resources,Female,Manager,,2,23
24,No,Research & Development,Life Sciences,Male,Laboratory Technician,,0,6
34,No,Research & Development,Life Sciences,Female,Research Scientist,,6,12
37,No,Sales,Life Sciences,Male,Sales Executive,,2,12
34,No,Research & Development,Medical,Female,Manager,,2,14
36,No,Sales,Technical Degree,Female,Sales Executive,,0,10
36,No,Research & Development,Life Sciences,Female,Laboratory Technician,,5,7
43,No,Sales,Life Sciences,Male,Manager,,1,25
30,No,Research & Development,Life Sciences,Male,Research Scientist,,1,10
33,No,Sales,Marketing,Male,Sales Executive,,0,8
56,Yes,Research & Development,Life Sciences,Female,Research Scientist,,9,7
51,No,Research & Development,Life Sciences,Male,Research Director,,7,23
31,Yes,Sales,Life Sciences,Male,Sales Executive,,4,12
26,No,Research & Development,Other,Female,Research Scientist,,1,5
58,Yes,Research & Development,Medical,Female,Healthcare Representative,,1,40
19,Yes,Sales,Marketing,Male,Sales Representative,,1,0
22,No,Research & Development,Technical Degree,Male,Laboratory Technician,,0,3
49,No,Research & Development,Medical,Female,Manufacturing Director,,1,16
43,No,Research & Development,Medical,Female,Research Scientist,,4,18
50,No,Sales,Marketing,Female,Sales Executive,,4,16
31,Yes,Sales,Life Sciences,Female,Sales Executive,,3,4
41,No,Sales,Life Sciences,Male,Sales Executive,,3,12
26,No,Human Resources,Life Sciences,Female,Human Resources,,1,8
36,No,Research & Development,Medical,Male,Manufacturing Director,,6,7
51,Yes,Research & Development,Life Sciences,Male,Manufacturing Director,,2,18
39,No,Sales,Life Sciences,Female,Sales Executive,,4,17
25,No,Sales,Life Sciences,Male,Sales Executive,,2,6
30,No,Human Resources,Human Resources,Male,Human Resources,,0,12
32,Yes,Research & Development,Medical,Female,Laboratory Technician,,7,10
45,No,Research & Development,Medical,Male,Research Scientist,,5,9
38,No,Research & Development,Technical Degree,Female,Research Scientist,,3,19
30,No,Research & Development,Life Sciences,Female,Research Scientist,,1,5
32,No,Sales,Medical,Male,Sales Executive,,0,9
30,No,Research & Development,Technical Degree,Female,Research Scientist,,5,8
30,No,Research & Development,Medical,Male,Laboratory Technician,,0,6
41,No,Research & Development,Life Sciences,Male,Manager,,4,21
41,No,Research & Development,Life Sciences,Male,Laboratory Technician,,2,7
19,No,Research & Development,Medical,Female,Laboratory Technician,,1,1
40,No,Research & Development,Medical,Female,Research Scientist,,1,20
35,No,Sales,Marketing,Male,Sales Executive,,1,10
53,No,Sales,Marketing,Male,Sales Representative,,2,13
45,No,Research & Development,Life Sciences,Male,Laboratory Technician,,8,20
32,No,Sales,Marketing,Female,Sales Executive,,1,9
29,No,Research & Development,Technical Degree,Male,Manufacturing Director,,1,10
51,No,Research & Development,Medical,Male,Manufacturing Director,,2,10
58,No,Research & Development,Medical,Female,Research Scientist,,4,9
40,No,Sales,Marketing,Male,Sales Executive,,7,15
34,No,Sales,Marketing,Female,Sales Representative,,6,6
22,No,Research & Development,Medical,Male,Research Scientist,,1,2
27,No,Research & Development,Medical,Male,Research Scientist,,6,6
28,No,Research & Development,Medical,Male,Research Scientist,,1,5
57,No,Research & Development,Life Sciences,Male,Healthcare Representative,,3,12
27,No,Research & Development,Medical,Male,Research Scientist,,1,1
50,No,Research & Development,Life Sciences,Female,Manager,,3,21
41,No,Research & Development,Life Sciences,Male,Research Scientist,,4,13
30,No,Sales,Life Sciences,Female,Sales Executive,,2,12
38,No,Sales,Life Sciences,Female,Sales Executive,,4,12
32,No,Research & Development,Life Sciences,Male,Research Scientist,,3,8
27,No,Research & Development,Technical Degree,Male,Research Scientist,,0,6
19,Yes,Sales,Technical Degree,Female,Sales Representative,,0,1
36,No,Research & Development,Medical,Male,Laboratory Technician,,4,13
30,No,Research & Development,Medical,Male,Laboratory Technician,,1,12
45,No,Sales,Life Sciences,Female,Sales Executive,,4,9
56,No,Research & Development,Life Sciences,Female,Research Scientist,,4,19
33,No,Research & Development,Life Sciences,Male,Research Scientist,,0,4
19,Yes,Research & Development,Life Sciences,Male,Laboratory Technician,,1,1
46,No,Sales,Marketing,Female,Sales Executive,,1,24
38,No,Research & Development,Life Sciences,Female,Laboratory Technician,,1,2
31,No,Research & Development,Medical,Female,Research Scientist,,8,7
34,No,Research & Development,Medical,Female,Research Scientist,,2,9
41,Yes,Sales,Marketing,Female,Sales Representative,,1,4
50,No,Research & Development,Medical,Male,Laboratory Technician,,2,5
53,No,Research & Development,Medical,Female,Manufacturing Director,,1,5
33,No,Research & Development,Medical,Female,Research Scientist,,1,8
40,No,Research & Development,Medical,Female,Manager,,1,21
55,No,Research & Development,Medical,Male,Research Director,,8,36
34,No,Research & Development,Life Sciences,Male,Manufacturing Director,,1,10
51,No,Research & Development,Medical,Female,Healthcare Representative,,3,21
52,No,Research & Development,Life Sciences,Male,Manager,,0,34
27,No,Research & Development,Medical,Female,Research Scientist,,1,7
35,Yes,Research & Development,Life Sciences,Male,Manufacturing Director,,3,8
43,No,Research & Development,Medical,Male,Research Scientist,,4,7
45,No,Research & Development,Medical,Male,Manager,,9,22
37,No,Research & Development,Life Sciences,Male,Research Scientist,,1,8
35,No,Research & Development,Medical,Female,Laboratory Technician,,5,10
42,No,Research & Development,Medical,Female,Manufacturing Director,,2,11
38,No,Research & Development,Life Sciences,Male,Manufacturing Director,,9,14
38,No,Research & Development,Technical Degree,Male,Manufacturing Director,,3,9
27,No,Research & Development,Technical Degree,Male,Manufacturing Director,,5,6
49,No,Research & Development,Life Sciences,Male,Manufacturing Director,,1,7
34,No,Research & Development,Medical,Male,Research Scientist,,1,5
40,No,Research & Development,Medical,Male,Laboratory Technician,,8,15
38,Yes,Research & Development,Medical,Male,Healthcare Representative,,7,17
29,Yes,Sales,Marketing,Female,Sales Executive,,1,10
22,No,Research & Development,Life Sciences,Male,Research Scientist,,1,4
36,No,Research & Development,Medical,Female,Laboratory Technician,,1,8
40,No,Research & Development,Life Sciences,Male,Healthcare Representative,,9,5
46,No,Research & Development,Medical,Male,Healthcare Representative,,7,17
32,Yes,Sales,Medical,Male,Sales Executive,,1,14
30,No,Research & Development,Life Sciences,Male,Manufacturing Director,,1,12
27,No,Sales,Life Sciences,Female,Sales Executive,,1,7
51,No,Research & Development,Life Sciences,Male,Research Director,,5,16
30,Yes,Research & Development,Technical Degree,Female,Research Scientist,,5,8
41,No,Sales,Life Sciences,Female,Manager,,3,16
30,Yes,Sales,Marketing,Female,Sales Executive,,5,9
29,Yes,Research & Development,Technical Degree,Male,Research Scientist,,0,7
45,No,Sales,Medical,Female,Sales Executive,,6,23
54,No,Sales,Marketing,Female,Sales Executive,,2,16
36,No,Research & Development,Life Sciences,Male,Laboratory Technician,,8,16
33,No,Research & Development,Medical,Female,Research Scientist,,6,7
37,No,Research & Development,Other,Male,Research Director,,1,10
38,No,Sales,Life Sciences,Male,Sales Executive,,0,17
31,No,Research & Development,Medical,Male,Manufacturing Director,,0,6
59,No,Research & Development,Life Sciences,Male,Research Scientist,,3,7
37,No,Sales,Marketing,Male,Sales Representative,,4,13
29,No,Sales,Medical,Female,Sales Executive,,1,11
35,No,Sales,Marketing,Female,Sales Executive,,1,10
29,Yes,Research & Development,Medical,Male,Research Scientist,,1,4
52,No,Research & Development,Life Sciences,Female,Laboratory Technician,,7,6
42,No,Research & Development,Technical Degree,Male,Manager,,1,22
59,No,Human Resources,Medical,Male,Human Resources,,8,7
50,No,Sales,Medical,Female,Manager,,3,32
33,Yes,Research & Development,Medical,Male,Laboratory Technician,,5,8
43,No,Sales,Marketing,Female,Manager,,5,22
33,Yes,Research & Development,Life Sciences,Female,Laboratory Technician,,7,13
52,No,Sales,Life Sciences,Male,Manager,,1,33
32,No,Sales,Life Sciences,Female,Sales Representative,,2,6
32,Yes,Research & Development,Life Sciences,Male,Laboratory Technician,,0,4
39,No,Research & Development,Medical,Female,Laboratory Technician,,7,7
32,No,Sales,Marketing,Male,Sales Executive,,0,4
41,No,Research & Development,Life Sciences,Male,Research Scientist,,2,17
40,No,Research & Development,Technical Degree,Male,Research Scientist,,1,9
45,No,Research & Development,Other,Male,Manager,,0,25
31,No,Research & Development,Medical,Male,Research Director,,9,9
33,No,Research & Development,Life Sciences,Female,Research Scientist,,1,2
34,No,Research & Development,Life Sciences,Male,Manufacturing Director,,6,13
37,No,Research & Development,Medical,Female,Research Scientist,,2,17
45,No,Research & Development,Life Sciences,Male,Manufacturing Director,,4,9
37,Yes,Research & Development,Medical,Male,Manufacturing Director,,6,17
39,No,Research & Development,Technical Degree,Female,Healthcare Representative,,0,20
29,No,Research & Development,Life Sciences,Male,Research Scientist,,1,6
42,No,Research & Development,Life Sciences,Female,Research Scientist,,3,10
29,No,Sales,Marketing,Male,Sales Executive,,2,10
25,No,Research & Development,Life Sciences,Female,Manufacturing Director,,0,5
42,No,Research & Development,Medical,Female,Laboratory Technician,,0,10
40,No,Research & Development,Medical,Male,Research Director,,0,22
51,No,Research & Development,Life Sciences,Male,Research Scientist,,1,1
31,Yes,Research & Development,Medical,Male,Laboratory Technician,,0,6
32,No,Research & Development,Life Sciences,Male,Laboratory Technician,,1,5
38,No,Sales,Life Sciences,Male,Sales Executive,,3,13
32,No,Research & Development,Technical Degree,Male,Laboratory Technician,,4,9
46,No,Sales,Technical Degree,Female,Manager,,3,28
28,Yes,Research & Development,Life Sciences,Male,Laboratory Technician,,2,5
29,No,Sales,Medical,Male,Sales Executive,,2,10
31,No,Research & Development,Medical,Male,Healthcare Representative,,0,10
25,No,Research & Development,Life Sciences,Male,Healthcare Representative,,1,6
45,No,Research & Development,Medical,Male,Healthcare Representative,,0,21
36,No,Research & Development,Life Sciences,Male,Laboratory Technician,,0,16
55,No,Research & Development,Medical,Male,Manager,,0,37
47,Yes,Research & Development,Life Sciences,Male,Manager,,1,10
28,No,Research & Development,Medical,Male,Research Scientist,,1,5
37,No,Sales,Medical,Male,Sales Executive,,4,7
21,No,Research & Development,Medical,Male,Research Scientist,,1,3
37,No,Research & Development,Medical,Female,Research Director,,2,15
35,No,Research & Development,Life Sciences,Female,Manager,,7,10
38,No,Sales,Medical,Female,Sales Executive,,1,8
26,No,Research & Development,Life Sciences,Female,Manufacturing Director,,1,6
50,No,Research & Development,Life Sciences,Male,Research Director,,3,28
53,No,Research & Development,Medical,Male,Research Director,,3,21
42,No,Sales,Life Sciences,Male,Sales Executive,,1,20
29,No,Sales,Life Sciences,Male,Sales Executive,,1,10
55,No,Research & Development,Technical Degree,Male,Laboratory Technician,,3,12
26,No,Research & Development,Medical,Male,Healthcare Representative,,1,5
37,No,Research & Development,Life Sciences,Female,Research Scientist,,1,17
44,Yes,Research & Development,Life Sciences,Male,Laboratory Technician,,3,19
38,No,Research & Development,Life Sciences,Male,Healthcare Representative,,9,10
26,Yes,Research & Development,Medical,Male,Laboratory Technician,,2,5
28,No,Research & Development,Life Sciences,Female,Research Scientist,,1,5
49,No,Research & Development,Life Sciences,Female,Research Director,,9,22
36,No,Research & Development,Technical Degree,Male,Research Scientist,,4,10
31,No,Sales,Marketing,Female,Sales Representative,,1,2
26,Yes,Sales,Marketing,Male,Sales Executive,,1,8
37,No,Research & Development,Medical,Male,Research Scientist,,1,4
42,No,Sales,Marketing,Female,Sales Executive,,5,23
18,Yes,Research & Development,Life Sciences,Male,Laboratory Technician,,1,0
35,No,Sales,Marketing,Male,Sales Executive,,0,12
36,No,Research & Development,Life Sciences,Male,Laboratory Technician,,4,4
51,No,Research & Development,Medical,Male,Manufacturing Director,,5,13
41,No,Sales,Life Sciences,Male,Manager,,1,22
18,No,Sales,Medical,Female,Sales Representative,,1,0
28,No,Research & Development,Medical,Male,Healthcare Representative,,0,9
31,No,Sales,Technical Degree,Male,Sales Executive,,4,10
39,No,Research & Development,Medical,Male,Healthcare Representative,,0,19
36,No,Research & Development,Life Sciences,Female,Laboratory Technician,,7,11
32,No,Sales,Life Sciences,Male,Sales Executive,,1,13
38,No,Research & Development,Life Sciences,Female,Research Director,,3,19
58,No,Research & Development,Life Sciences,Male,Healthcare Representative,,2,12
31,No,Research & Development,Technical Degree,Male,Research Scientist,,0,6
31,No,Human Resources,Human Resources,Male,Human Resources,,3,9
45,No,Research & Development,Life Sciences,Male,Laboratory Technician,,1,24
31,No,Research & Development,Life Sciences,Male,Research Scientist,,0,3
33,No,Research & Development,Life Sciences,Female,Manager,,6,12
39,No,Research & Development,Medical,Male,Manager,,1,21
43,No,Research & Development,Life Sciences,Female,Laboratory Technician,,0,9
49,No,Research & Development,Technical Degree,Female,Healthcare Representative,,7,25
52,Yes,Research & Development,Medical,Male,Research Scientist,,2,11
27,No,Research & Development,Life Sciences,Female,Research Scientist,,1,4
32,No,Sales,Technical Degree,Female,Sales Executive,,1,13
27,No,Sales,Life Sciences,Male,Sales Executive,,1,5
31,No,Sales,Marketing,Male,Sales Executive,,4,13
32,No,Research & Development,Medical,Female,Research Scientist,,7,10
28,Yes,Research & Development,Medical,Male,Research Scientist,,5,5
30,No,Research & Development,Medical,Female,Research Scientist,,1,11
31,No,Research & Development,Life Sciences,Female,Manufacturing Director,,1,10
39,No,Research & Development,Medical,Male,Manager,,1,21
39,Yes,Sales,Medical,Female,Sales Executive,,4,12
33,No,Sales,Marketing,Male,Sales Executive,,3,9
47,No,Research & Development,Life Sciences,Male,Research Director,,4,21
43,No,Research & Development,Life Sciences,Female,Laboratory Technician,,1,9
27,No,Sales,Marketing,Male,Sales Executive,,0,6
54,No,Research & Development,Life Sciences,Female,Research Scientist,,3,20
43,No,Research & Development,Life Sciences,Female,Healthcare Representative,,8,10
45,No,Research & Development,Other,Male,Research Scientist,,9,12
40,No,Sales,Medical,Male,Sales Executive,,2,6
29,Yes,Research & Development,Other,Male,Laboratory Technician,,1,7
29,No,Research & Development,Other,Male,Laboratory Technician,,0,4
30,No,Sales,Marketing,Female,Sales Executive,,1,10
27,No,Sales,Marketing,Female,Sales Executive,,1,8
37,No,Research & Development,Medical,Male,Manufacturing Director,,7,8
38,No,Research & Development,Life Sciences,Male,Research Director,,0,12
31,No,Research & Development,Medical,Female,Manufacturing Director,,1,11
29,No,Sales,Marketing,Female,Sales Executive,,1,7
35,No,Research & Development,Technical Degree,Male,Manufacturing Director,,0,17
23,No,Research & Development,Life Sciences,Male,Research Scientist,,1,4
41,No,Research & Development,Medical,Male,Manufacturing Director,,6,8
47,No,Sales,Medical,Male,Sales Representative,,3,5
42,No,Research & Development,Life Sciences,Female,Research Director,,2,16
29,No,Sales,Life Sciences,Male,Sales Executive,,1,4
42,No,Human Resources,Technical Degree,Male,Human Resources,,0,4
32,No,Research & Development,Medical,Female,Laboratory Technician,,1,8
48,No,Sales,Medical,Female,Manager,,3,15
37,No,Research & Development,Medical,Male,Research Scientist,,4,13
30,No,Sales,Technical Degree,Female,Sales Executive,,7,4
26,No,Sales,Life Sciences,Male,Sales Executive,,1,8
42,No,Research & Development,Other,Male,Healthcare Representative,,3,14
21,Yes,Sales,Technical Degree,Female,Sales Representative,,1,3
36,No,Sales,Medical,Female,Sales Executive,,4,7
36,No,Sales,Medical,Male,Sales Executive,,4,16
57,No,Research & Development,Medical,Male,Healthcare Representative,,2,15
40,No,Research & Development,Life Sciences,Female,Laboratory Technician,,3,10
21,No,Sales,Medical,Male,Sales Representative,,1,3
33,Yes,Sales,Marketing,Female,Sales Representative,,1,1
